S=1,S=2,S=3,S=4,S=5,t
8.838811745,8.891706409,8.942917408,8.992029081,9.038496251,10.5
8.937311912,8.99053473,9.042064372,9.091482123,9.138238736,10.6
9.035896728,9.089450853,9.141302291,9.191029259,9.238078418,10.7
9.134644532,9.188532836,9.240708978,9.290748102,9.338092776,10.8
9.234228048,9.288458851,9.340968154,9.39132806,9.438977092,10.9
9.33538012,9.389966141,9.44282158,9.493515578,9.54148272,11
9.438673295,9.493628904,9.546845175,9.597888414,9.646189435,11.1
9.54370461,9.599040822,9.65262916,9.704033187,9.752680079,11.2
9.650339785,9.70606739,9.760038705,9.811814629,9.860818813,11.3
9.758398765,9.814524266,9.868885191,9.921039859,9.970408511,11.4
9.865988842,9.922512984,9.977264174,10.0297981,10.07953151,11.5
9.973468332,10.03040027,10.08555065,10.13847244,10.18857884,11.6
10.0819844,10.13932999,10.19488546,10.24820111,10.29868664,11.7
10.19160308,10.24936662,10.30533152,10.3590455,10.40991483,11.8
10.30270316,10.36089036,10.4172704,10.4713885,10.52264762,11.9
10.41234259,10.47095447,10.52775053,10.58227332,10.63392236,12
10.52235115,10.58138869,10.63860176,10.6935303,10.74557035,12.1
10.63276791,10.69223421,10.74986734,10.80520466,10.85763874,12.2
10.74355433,10.80345304,10.86150986,10.91725948,10.97009109,12.3
10.85469538,10.91503043,10.97351476,11.02968048,11.0829133,12.4
10.9670389,11.02781386,11.08672922,11.14331453,11.19695218,12.5
11.07988334,11.14109919,11.20044653,11.25745237,11.31149583,12.6
11.19461417,11.25627005,11.3160484,11.37347386,11.42792245,12.7
11.31004499,11.37214223,11.43235277,11.49019894,11.54505371,12.8
11.42634086,11.48887929,11.54952169,11.60778812,11.66304859,12.9
11.54403492,11.60701157,11.66808261,11.72676588,11.78242863,13
11.66227857,11.72569292,11.78719187,11.84629112,11.90235517,13.1
11.78096685,11.84481778,11.90674335,11.96625715,12.02272098,13.2
11.89949792,11.96378929,12.02614524,12.0860772,12.14294423,13.3
12.01858194,12.0833124,12.14609713,12.20644547,12.2637138,13.4
12.13871707,12.20388125,12.26708902,12.3278477,12.38551109,13.5
12.26025991,12.32584612,12.38946468,12.45062101,12.50866659,13.6
12.38225195,12.44825519,12.5122793,12.57382787,12.63225009,13.7
12.5043803,12.57080122,12.63523131,12.69717231,12.75597115,13.8
12.6272786,12.69410751,12.75893347,12.82125646,12.88042125,13.9
12.75101253,12.81823747,12.88344678,12.9461388,13.0056563,14
12.87322898,12.94087673,13.0064966,13.06958505,13.12948255,14.1
12.99582144,13.06388926,13.12991657,13.19339801,13.2536718,14.2
