T=1,T=2,T=3,T=4,T=5,t
10.77704237,10.87987133,17.57142198,17.13553532,16.73556154,12.4
10.88635024,10.99336801,17.54161462,17.10616607,16.70588586,12.5
10.9961468,11.10737295,17.52380187,17.08656732,16.68461905,12.6
11.10788788,11.22325919,17.46430135,17.03613959,16.63939773,12.7
11.22032403,11.33985095,17.40619113,16.98590411,16.59412585,12.8
11.33363555,11.45730859,17.34489964,16.93263726,16.54629805,12.9
11.44839301,11.57615464,17.25332024,16.85620486,16.48006843,13
11.563699,11.6955514,17.17870281,16.79053371,16.42144198,13.1
11.67944793,11.81539313,17.12590814,16.74057165,16.3748521,13.2
11.79498543,11.93509365,17.10551057,16.71566041,16.34834554,13.3
11.91108027,12.05534561,17.08506955,16.69185791,16.32331578,13.4
12.0282732,12.17663324,17.03982881,16.65003262,16.28438489,13.5
12.14697001,12.29929434,16.95565767,16.57927276,16.2227881,13.6
12.26613754,12.42239409,16.90011078,16.5283526,16.17612533,13.7
12.38541831,12.54563533,16.8664669,16.49394338,16.142508,13.8
12.50552966,12.66962092,16.82800094,16.45653645,16.10684476,13.9
12.6265521,12.79440954,16.77713502,16.41010935,16.06421704,14
12.74582129,12.9177649,16.80826566,16.42752629,16.0732133,14.1
12.86547222,13.04149053,16.83346581,16.44189756,16.08067994,14.2
12.98690726,13.16672414,16.81594433,16.42477816,16.06366695,14.3
13.10821697,13.2918927,16.81940476,16.42407339,16.0601324,14.4
13.2299193,13.41741412,16.8224371,16.42385177,16.05752264,14.5
13.35310168,13.5441311,16.78260954,16.39200711,16.03022859,14.6
13.47688501,13.67133029,16.74097439,16.35813609,16.00115702,14.7
13.60106916,13.79884138,16.71406141,16.3346699,15.98014528,14.8
13.72531851,13.92641397,16.7109419,16.32936166,15.97375304,14.9
13.84949859,14.05395558,16.72617513,16.33891587,15.97976577,15
13.97374406,14.18155728,16.75454833,16.35986718,15.99573169,15.1
14.0996486,14.31031337,16.72166004,16.33478574,15.97523708,15.2
14.22587668,14.43928059,16.69598469,16.31445529,15.95830118,15.3
14.35001211,14.56686074,16.76405716,16.36812358,16.00200196,15.4
14.47471226,14.69485536,16.81698209,16.41035743,16.03677739,15.5
14.59996377,14.82323347,16.85515608,16.4418022,16.063264,15.6
14.72564611,14.95189759,16.88274142,16.46573466,16.0841138,15.7
14.85185554,15.08088141,16.89950199,16.48194421,16.0991553,15.8
14.97854295,15.21013553,16.90186525,16.48750558,16.10590428,15.9
15.10561945,15.3395806,16.90140204,16.49082089,16.11094786,16
15.23311538,15.46921088,16.88526259,16.48233069,16.10666912,16.1
15.36102346,15.59898041,16.86497095,16.47011577,16.09927062,16.2
15.4891095,15.72877963,16.85653665,16.46591482,16.09789538,16.3
15.61680149,15.85842223,16.88617685,16.49026677,16.1191699,16.4
15.7439827,15.98784412,16.94608556,16.53921427,16.16092739,16.5
15.87208597,16.11755011,16.96715795,16.55901181,16.17965524,16.6
15.99980637,16.24711641,17.01921888,16.60310723,16.21829056,16.7
16.12770184,16.37669578,17.06949692,16.64669365,16.25705265,16.8
16.25588673,16.50629102,17.11053989,16.68383065,16.2910284,16.9
16.38433002,16.63585633,17.14309616,16.71497553,16.32052097,17
16.51255548,16.76535367,17.19532212,16.76149342,16.36266215,17.1
16.64127716,16.89475424,17.21927846,16.7870878,16.38836996,17.2
16.77021563,17.02398129,17.23400996,16.80581034,16.40874873,17.3
16.89898755,17.1531891,17.27475018,16.84385244,16.44452669,17.4
17.02790753,17.2822005,17.30647355,16.87538742,16.47532694,17.5
17.15708065,17.41071158,17.3068147,16.88382954,16.48805142,17.6
17.28624841,17.53896489,17.31164457,16.89482074,16.50250969,17.7
17.41541973,17.6666827,17.30405481,16.89622226,16.50929478,17.8
17.54452434,17.79398709,17.29828003,16.89810788,16.5161011,17.9
17.67353781,17.92091749,17.29884158,16.9039648,16.52570134,18
17.80246285,18.04762017,17.31291084,16.91946215,16.54269158,18.1
17.93124609,18.17380051,17.32325796,16.93215535,16.55742965,18.2
18.05995926,18.29992073,17.35281347,16.95925324,16.58355636,18.3
18.18860068,18.42597964,17.39716497,16.99814529,16.61936506,18.4
18.3171114,18.55168842,17.44508316,17.04050113,16.65834484,18.5
18.4454208,18.67678728,17.48540109,17.07746636,16.69321933,18.6
18.57348867,18.80122558,17.51914428,17.10977019,16.72454565,18.7
18.70060169,18.92323651,17.49901115,17.10278967,16.72523811,18.8
18.82729351,19.04439779,17.48528939,17.09905964,16.72786984,18.9
18.95288478,19.16335297,17.44191431,17.07310702,16.71294536,19
19.07802634,19.28155112,17.41954289,17.0602982,16.70722746,19.1
19.20254119,19.39863131,17.39793354,17.04717545,16.70076593,19.2
19.32561668,19.51319282,17.35153613,17.01532463,16.67937231,19.3
19.44778386,19.62628254,17.31069813,16.98594679,16.65904081,19.4
19.56914545,19.73813235,17.28143236,16.96389287,16.64369348,19.5
19.6894439,19.84831661,17.25081601,16.94025529,16.62665803,19.6
19.80883206,19.95716463,17.22955529,16.92299082,16.61416295,19.7
19.92700005,20.06416813,17.20398074,16.90229779,16.59870559,19.8
20.04410388,20.16963708,17.18248773,16.8843193,16.58506132,19.9
20.15994067,20.27333823,17.1653728,16.86948069,16.57367204,20
20.27441193,20.37514729,17.14934537,16.85545406,16.56278452,20.1
20.38768581,20.47535469,17.13810526,16.84505582,16.55465869,20.2
20.49939637,20.57342566,17.12302365,16.83187666,16.54427576,20.3
20.60987953,20.66996317,17.11638427,16.82514295,16.53895377,20.4
20.71874594,20.76440856,17.10917427,16.81821153,16.53351219,20.5
20.83050557,20.86318794,17.15681689,16.85436737,16.56308597,20.6
20.93612234,20.95349292,17.14187923,16.84311983,16.55488979,20.7
21.04323254,21.0461072,17.16527442,16.86095908,16.56990321,20.8
21.14972123,21.13806881,17.19515728,16.88448147,16.58983779,20.9
