b=1,b=2,b=3,b=4,b=5,t
21.2918845,21.62955167,3.075617045,2.591473263,2.373477868,3
21.2997449,21.63979944,3.11830712,2.653234923,2.435701463,3.1
21.30815042,21.64944636,3.164341035,2.715942935,2.498390922,3.2
21.31791041,21.65947813,3.213558878,2.77968721,2.561681392,3.3
21.32967923,21.6706754,3.265810574,2.844541033,2.62568758,3.4
21.34003415,21.67832784,3.320994152,2.910609154,2.69055543,3.5
21.34793842,21.68315202,3.377531405,2.976800961,2.755247863,3.6
21.33990367,21.67151733,3.432473356,3.040897763,2.817611204,3.7
21.33877483,21.66772117,3.49014102,3.106353393,2.881065701,3.8
21.34276119,21.67079802,3.549261013,3.172236676,2.944709866,3.9
21.34961216,21.67641883,3.610289374,3.239014254,3.009031512,4
21.32917553,21.64268234,3.673661933,3.307229273,3.07461763,4.1
21.29153016,21.58590111,3.738950254,3.376564486,3.14115778,4.2
21.14295866,21.35671531,3.811155853,3.451639925,3.213389,4.3
20.99168427,21.14616082,3.885556701,3.528241706,3.28700862,4.4
20.81368328,20.90943501,3.963062945,3.607279909,3.362968488,4.5
20.6124604,20.65501324,4.04296822,3.68817828,3.44069198,4.6
20.50656517,20.55631843,4.12058606,3.76654983,3.515647407,4.7
20.41855248,20.48026288,4.198509639,3.844855226,3.590393974,4.8
20.31059563,20.37258234,4.278356848,3.924668065,3.666575254,4.9
20.22122614,20.29036862,4.35847123,4.004425911,3.742571017,5
20.15167354,20.23487576,4.438237796,4.083560947,3.817796764,5.1
20.04542658,20.1241748,4.520390576,4.164745973,3.895051712,5.2
19.95789973,20.04036509,4.602790791,4.245910481,3.972171767,5.3
19.90261622,19.99934764,4.684738109,4.326374006,4.048447665,5.4
19.86134737,19.97170886,4.767320524,4.407210064,4.125011089,5.5
19.7915938,19.89913889,4.852291013,4.490189138,4.203731213,5.6
19.75965707,19.8810146,4.935735778,4.571437812,4.280529163,5.7
19.71803661,19.84794565,5.019758086,4.653070897,4.357641886,5.8
19.71855537,19.86784579,5.102671873,4.733372845,4.43325856,5.9
19.70109816,19.85919981,5.187121704,4.81503429,4.510229937,6
19.71065882,19.88322397,5.271126726,4.896044623,4.586428606,6.1
19.71345642,19.89550313,5.355772097,4.97753382,4.66305619,6.2
19.71892093,19.90849587,5.440898693,5.059339635,4.739942608,6.3
19.72577636,19.921215,5.526419803,5.141384617,4.817007663,6.4
19.7680082,19.97919308,5.610273894,5.221546668,4.891998326,6.5
19.83424903,20.06607244,5.691593686,5.298957379,4.963997052,6.6
19.89276311,20.14285451,5.77279351,5.376115479,5.0356679,6.7
19.94111452,20.20716058,5.853561288,5.45271323,5.106684422,6.8
19.98728558,20.2654976,5.934964587,5.529822547,5.178191491,6.9
20.0314726,20.31846473,6.016985255,5.607431406,5.2501767,7
20.06940235,20.36242449,6.099074016,5.684991097,5.322053585,7.1
20.0998756,20.39646472,6.181087053,5.762359528,5.393670849,7.2
20.12698099,20.42503681,6.263413407,5.839933976,5.465454924,7.3
20.14700068,20.44468958,6.345682046,5.917340783,5.53700545,7.4
20.16457213,20.46068027,6.428273025,5.994969745,5.608741442,7.5
20.17550763,20.46889055,6.510823503,6.072453276,5.680268171,7.6
20.17717458,20.46697012,6.593126076,6.149581275,5.751360349,7.7
20.17741333,20.46382838,6.675701336,6.226889323,5.822594857,7.8
20.22698293,20.52897167,6.75580351,6.301482784,5.890889702,7.9
20.25894719,20.56701477,6.837500758,6.377651256,5.960824904,8
20.25717305,20.55428938,6.921335621,6.455977342,6.033016592,8.1
20.19833009,20.45439573,7.008179857,6.537390216,6.108453489,8.2
20.20816213,20.46780349,7.0925227,6.616047451,6.180891075,8.3
20.19876946,20.4507262,7.178592961,6.696437877,6.255133933,8.4
20.16308455,20.39511881,7.26631963,6.778494429,6.331104713,8.5
20.09704493,20.29712778,7.355829427,6.862356716,6.408950726,8.6
20.03822149,20.22100696,7.445173105,6.945948634,6.486440758,8.7
19.99461515,20.16927496,7.535070072,7.030034943,6.564406509,8.8
19.95170733,20.11748681,7.626117255,7.115258017,6.643538344,8.9
19.9153407,20.07700031,7.717487838,7.200735433,6.722882207,9
19.86813718,20.02098797,7.809932481,7.287276242,6.803307835,9.1
19.83687253,19.99144173,7.902004189,7.373324507,6.883137492,9.2
19.83655902,20.00342494,7.993454006,7.458611774,6.96209227,9.3
19.8057174,19.96789472,8.087041979,7.546119905,7.043381576,9.4
19.74847085,19.89268984,8.182483806,7.635547564,7.126679491,9.5
19.7000749,19.83633035,8.277930887,7.724891674,7.209816844,9.6
19.65946877,19.79280147,8.373718994,7.814518583,7.29319471,9.7
19.62428491,19.75619215,8.470132785,7.904740325,7.377154255,9.8
19.59712599,19.73011529,8.566977597,7.995346524,7.461467581,9.9
19.56815916,19.70329604,8.663961777,8.0860167,7.545776285,10
19.54625159,19.68479259,8.761384246,8.177081946,7.630450917,10.1
